# conflictIndex, flightIndex1, flightIndex2, lat1, lon1, time1, lat2, lon2, time2
253, 234, 0, 35.723198, 29.397699, 773.000000, 35.723198, 29.397699, 793.000000
254, 90, 0, 35.723198, 29.397699, 793.000000, 35.723198, 29.397699, 773.000000
255, 87, 225, 35.745132, 29.548885, 780.000000, 35.745132, 29.548885, 748.000000
256, 87, 225, 35.566322, 29.819059, 782.000000, 35.566322, 29.819059, 726.000000
257, 87, 234, 35.297771, 30.222380, 785.000000, 35.297771, 30.222380, 753.000000
258, 224, 247, 35.686008, 33.198238, 1376.000000, 35.686008, 33.198238, 1389.000000
259, 242, 240, 35.686008, 33.198238, 1389.000000, 35.686008, 33.198238, 1376.000000
260, 62, 141, 36.144596, -116.237373, 145.000000, 36.152714, -116.259407, 120.000000
261, 104, 178, 36.008038, -116.337753, 203.000000, 36.002930, -116.286057, 179.000000
262, 195, 677, 36.080055, -115.152252, 1400.000000, 36.075146, -115.211960, 1374.000000
263, 586, 0, 36.179752, -114.998878, 1244.000000, 36.173889, -115.016991, 1292.000000
264, 542, 518, 36.104527, -114.632042, 1365.000000, 36.099590, -114.774559, 1320.000000
265, 417, 370, 36.111092, -93.448814, 1141.000000, 36.115555, -93.847275, 1083.000000
266, 399, 1042, 35.862625, -90.705772, 1083.000000, 35.862625, -90.705772, 1055.000000
267, 354, 357, 35.978268, -90.583122, 1053.000000, 35.976589, -90.611694, 1054.000000
268, 226, 88, 35.858219, -84.095772, 261.000000, 35.858219, -84.095772, 290.000000
269, 379, 416, 36.005768, -83.807610, 1058.000000, 36.000034, -83.818542, 1098.000000
270, 575, 545, 35.893066, -83.897202, 1271.000000, 35.896976, -83.892799, 1227.000000
271, 644, 641, 36.042877, -83.827721, 1392.000000, 36.046684, -83.771866, 1376.000000
272, 950, 0, 36.207497, -82.650124, 1693.000000, 36.208107, -82.546570, 1723.000000
273, 955, 950, 36.092003, -82.632233, 1724.000000, 36.089188, -82.731384, 1695.000000
274, 257, 531, 35.983601, -81.194511, 545.000000, 35.980297, -81.212128, 497.000000
275, 758, 881, 36.007702, -81.124229, 892.000000, 36.005444, -81.181007, 887.000000
