conflictIndex,flight1,flight2,lat1,lat2,lon1,lon2,time1,time2
4991,349,376,58.08501052856445,58.08647918701172,-3.64164662361145,-3.5693817138671875,610.0,612.0
4992,349,382,53.38461685180664,53.37965393066406,4.64010763168335,4.6356520652771,561.0,584.0
4993,349,382,58.12221145629883,58.12995529174805,-59.23564147949219,-58.792667388916016,825.0,838.0
4994,349,402,60.906246185302734,60.90692138671875,-35.12368392944336,-35.14694595336914,730.0,760.0
4995,349,402,58.12221145629883,58.11818313598633,-59.23564147949219,-59.003578186035156,825.0,856.0
4996,349,402,48.60111618041992,48.594913482666016,-80.07591247558594,-80.02825164794922,946.0,980.0
4997,349,411,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,531.0,566.0
4998,349,471,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,531.0,545.0
4999,349,510,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,531.0,508.0
5000,349,570,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,531.0,520.0
5001,350,365,61.29759216308594,61.291847229003906,-25.96708869934082,-25.916149139404297,691.0,712.0
5002,350,382,60.880706787109375,60.88093948364258,-29.32162094116211,-29.301786422729492,703.0,728.0
5003,350,570,61.766990661621094,61.76805877685547,-1.8465217351913452,-1.8601118326187134,608.0,610.0
5004,350,745,45.56342315673828,45.568355560302734,-68.57331848144531,-68.61807250976562,931.0,953.0
5005,351,354,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1098.0,1106.0
5006,351,356,58.114898681640625,58.1151008605957,-58.25751876831055,-58.87491226196289,820.0,817.0
5007,351,357,58.114898681640625,58.11928176879883,-58.25751876831055,-58.59224319458008,820.0,829.0
5008,351,357,42.40167999267578,42.404239654541016,-85.12935638427734,-85.33097839355469,989.0,999.0
5009,351,357,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1098.0,1107.0
5010,351,359,58.114898681640625,58.11820983886719,-58.25751876831055,-58.04005813598633,820.0,822.0
5011,351,360,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,517.0
5012,351,365,51.85432434082031,51.85018539428711,-72.75784301757812,-72.85831451416016,897.0,918.0
5013,351,370,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,544.0
5014,351,370,52.817039489746094,52.81901168823242,-71.1154556274414,-71.11323547363281,887.0,906.0
5015,351,373,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,543.0
5016,351,382,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,555.0
5017,351,386,54.7896614074707,54.79071807861328,-67.11421966552734,-67.07037353515625,864.0,886.0
5018,351,399,58.114898681640625,58.11928176879883,-58.25751876831055,-58.59224319458008,820.0,857.0
5019,351,399,42.40167999267578,42.404239654541016,-85.12935638427734,-85.33097839355469,989.0,1027.0
5020,351,399,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1098.0,1135.0
5021,351,403,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,580.0
5022,351,403,51.8518180847168,51.84929656982422,6.73108434677124,6.461734294891357,555.0,596.0
5023,351,410,32.96011734008789,32.952518463134766,-93.14042663574219,-93.01216888427734,1071.0,1067.0
5024,351,410,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1098.0,1095.0
5025,351,411,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,566.0
5026,351,471,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,545.0
5027,351,510,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,508.0
5028,351,510,51.97453308105469,51.97832107543945,6.606703281402588,6.567347526550293,556.0,525.0
5029,351,510,58.19706344604492,58.19511032104492,-1.5935865640640259,-1.6269432306289673,610.0,582.0
5030,351,570,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,540.0,520.0
5031,351,747,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1098.0,1096.0
5032,351,946,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1098.0,1048.0
5033,352,353,53.811038970947266,53.80853271484375,-4.236602783203125,-4.2339091300964355,590.0,584.0
5034,352,364,54.97837448120117,54.980560302734375,-7.75966215133667,-7.8221659660339355,608.0,647.0
5035,352,369,42.423343658447266,42.41698455810547,-73.29769897460938,-72.95826721191406,957.0,981.0
5036,352,373,42.423343658447266,42.419349670410156,-73.29769897460938,-72.70652770996094,957.0,969.0
5037,352,395,56.721168518066406,56.72306442260742,-16.24095916748047,-16.2425537109375,647.0,676.0
5038,352,406,42.423343658447266,42.4212646484375,-73.29769897460938,-72.8533706665039,957.0,1013.0
5039,353,364,40.692501068115234,40.692501068115234,-74.16867065429688,-74.16867065429688,990.0,1036.0
5040,353,369,40.692501068115234,40.692501068115234,-74.16867065429688,-74.16867065429688,990.0,998.0
5041,353,372,58.12056350708008,58.11712646484375,-18.28590965270996,-18.19731903076172,657.0,679.0
5042,353,375,40.692501068115234,40.692501068115234,-74.16867065429688,-74.16867065429688,990.0,999.0
5043,353,376,45.57324981689453,45.56658172607422,-72.1681137084961,-72.0246810913086,943.0,953.0
5044,353,376,40.692501068115234,40.692501068115234,-74.16867065429688,-74.16867065429688,990.0,1001.0
5045,353,391,42.45189666748047,42.44824981689453,-73.4794692993164,-73.32482147216797,973.0,994.0
5046,353,391,40.692501068115234,40.692501068115234,-74.16867065429688,-74.16867065429688,990.0,1011.0
5047,353,400,42.45189666748047,42.45165252685547,-73.4794692993164,-73.69294738769531,973.0,1005.0
5048,353,400,40.692501068115234,40.692501068115234,-74.16867065429688,-74.16867065429688,990.0,1021.0
5049,353,415,54.95933532714844,54.96271514892578,-6.741564750671387,-6.61283540725708,599.0,654.0
5050,353,472,40.692501068115234,40.692501068115234,-74.16867065429688,-74.16867065429688,990.0,997.0
5051,354,357,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1106.0,1107.0
5052,354,361,52.30861282348633,52.30861282348633,4.763888835906982,4.763888835906982,574.0,562.0
5053,354,363,54.3055534362793,54.30497360229492,2.559882879257202,2.560021162033081,590.0,599.0
5054,354,363,60.112693786621094,60.105552673339844,-11.181694984436035,-11.176466941833496,659.0,672.0
5055,354,363,60.95449447631836,60.96065139770508,-20.337223052978516,-20.325801849365234,692.0,707.0
5056,354,370,58.10274887084961,58.10619354248047,-3.4436159133911133,-3.572291612625122,626.0,623.0
5057,354,376,52.30861282348633,52.30861282348633,4.763888835906982,4.763888835906982,574.0,556.0
5058,354,376,55.03383255004883,55.03265380859375,1.6757278442382812,1.5970534086227417,596.0,580.0
5059,354,379,51.82403564453125,51.82902908325195,-72.6557388305664,-73.26119232177734,906.0,933.0
5060,354,384,52.30861282348633,52.30861282348633,4.763888835906982,4.763888835906982,574.0,579.0
5061,354,396,51.82403564453125,51.82394027709961,-72.6557388305664,-73.35295104980469,906.0,902.0
5062,354,399,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1106.0,1135.0
5063,354,402,52.30861282348633,52.30861282348633,4.763888835906982,4.763888835906982,574.0,581.0
5064,354,403,60.445587158203125,60.446746826171875,-13.564170837402344,-13.560379981994629,668.0,699.0
5065,354,410,51.82403564453125,51.831138610839844,-72.6557388305664,-72.83309173583984,906.0,886.0
5066,354,410,45.61484146118164,45.61805725097656,-81.5674819946289,-81.4454116821289,968.0,950.0
